Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales,Highest
"LEGO Star Wars II: The Original Trilogy",5.08,1.55,0.01,0.69,7.35,NA
"Guitar Hero II",5.82,0.65,0,0.85,7.32,NA
"The Legend of Zelda: A Link to the Past",4.17,1.43,1.48,0.23,7.31,NA
"Just Dance",3.51,3.03,0,0.73,7.27,NA
"LEGO Star Wars: The Video Game",4.72,2.01,0.01,0.52,7.26,NA
"Crash Bandicoot: The Wrath of Cortex",3.12,2.98,0.24,0.91,7.24,NA
"Tekken 3",3.27,2.22,1.4,0.29,7.16,NA
"Battlefield: Bad Company 2",3.61,2.67,0.12,0.77,7.16,NA
"Street Fighter IV",3.84,1.77,0.73,0.79,7.14,NA
"Madden NFL 09",6.07,0.31,0,0.75,7.14,NA
"Crash Bandicoot 3: Warped",3.68,1.75,1.42,0.28,7.13,NA
"The Simpsons Game",2.53,2.61,0,1.98,7.12,EU
"Borderlands 2",3.79,2.3,0.15,0.9,7.11,NA
"Super Smash Bros. Melee",4.41,1.04,1.39,0.22,7.07,NA
"NBA 2K15",5.01,1.13,0.03,0.89,7.06,NA
"Final Fantasy III",1.77,0.05,5.12,0.12,7.05,JP
"The Simpsons: Hit & Run",3.2,2.97,0,0.89,7.04,NA
"Super Mario World 2: Yoshi's Island",3.4,1.06,2.38,0.18,7.03,NA
"Madden NFL 15",5.66,0.58,0,0.73,6.97,NA
"Mario Kart 8",3.13,2.07,1.27,0.49,6.96,NA
"Mario Kart: Double Dash!!",4.12,1.77,0.87,0.19,6.95,NA
"Assassin's Creed: Brotherhood",4.86,1.3,0.14,0.64,6.93,NA
"Need For Speed: Undercover",2.48,2.55,0.12,1.79,6.92,EU
"FIFA 17",0.5,5.48,0.07,0.85,6.91,EU
Cars,5.31,0.97,0,0.6,6.86,NA
"Uncharted 3: Drake's Deception",2.77,2.8,0.19,1.06,6.83,EU
"Crash Bandicoot",3.23,2.35,0.94,0.3,6.82,NA
"Gears of War 2",4.15,1.92,0.06,0.64,6.76,NA
"Uncharted 2: Among Thieves",3.27,2.25,0.21,1,6.73,NA
"Medal of Honor: Rising Sun",3.07,2.68,0.13,0.86,6.72,NA
"NBA 2K14",5.12,0.95,0.05,0.6,6.72,NA
"Namco Museum",5.21,1.31,0.05,0.11,6.69,NA
"Big Brain Academy",1.67,2.78,1.6,0.62,6.67,EU
"Teenage Mutant Ninja Turtles",4.98,1.18,0.31,0.2,6.67,NA
"Star Wars: Battlefront II",4.47,1.6,0.04,0.57,6.67,NA
"The Lord of the Rings: The Two Towers",3.33,2.5,0.08,0.75,6.65,NA
"Tony Hawk's Pro Skater 2",4.49,1.88,0.02,0.23,6.62,NA
"Just Dance 2014",3.68,2.31,0,0.6,6.58,NA
"Sonic the Hedgehog",3.88,1.47,0.3,0.9,6.57,NA
"Madden NFL 13",5.67,0.4,0,0.47,6.53,NA
"The Legend of Zelda",3.74,0.93,1.69,0.14,6.51,NA
"Halo: Combat Evolved",4.99,1.32,0.08,0.08,6.47,NA
"Tony Hawk's Underground",4.11,1.84,0.01,0.5,6.47,NA
"Finding Nemo",4.02,1.99,0.09,0.36,6.46,NA
"Resident Evil 2",2.31,1.57,2.09,0.46,6.44,NA
"Tomb Raider (2013)",2.27,3.03,0.15,0.99,6.44,EU
"Kung Fu Panda",3.42,1.96,0,1.02,6.42,NA
"Need for Speed Carbon",3.55,2.14,0.12,0.59,6.42,NA
"Pok̩mon Emerald Version",2.57,1.58,2.06,0.21,6.41,NA
"Pok̩mon Crystal Version",2.55,1.56,1.29,0.99,6.39,NA
"FIFA Soccer 07",1.54,3.54,0.03,1.27,6.38,EU
"The Legend of Zelda: The Wind Waker",3.53,1.56,1.03,0.26,6.37,NA
"Michael Jackson: The Experience",3.92,1.85,0.01,0.6,6.37,NA
"LEGO Batman 2: DC Super Heroes",3.4,2.31,0,0.65,6.37,NA
"Halo 3: ODST",4.34,1.35,0.06,0.61,6.36,NA
Frogger,5.85,0.39,0,0.13,6.36,NA
"Super Mario Sunshine",4.01,1.26,0.87,0.17,6.31,NA
"Street Fighter II: The World Warrior",2.47,0.83,2.87,0.12,6.3,JP
"World of Warcraft",0.07,6.21,0,0,6.28,EU
Driver,3.11,2.8,0.02,0.33,6.27,NA
"Skylanders SWAP Force",3.53,2.08,0,0.66,6.26,NA
"Kinect Sports",3.92,1.78,0.03,0.51,6.24,NA
"Gears of War 3",4.05,1.62,0.07,0.49,6.24,NA
"Carnival Games",3.36,2.14,0.05,0.61,6.15,NA
"Gears of War",3.54,1.91,0.07,0.6,6.13,NA
Golf,2.05,0.61,3.38,0.08,6.13,JP
"Metal Gear Solid",3.18,1.83,0.85,0.24,6.1,NA
"NBA 2K13",4.79,0.74,0.06,0.5,6.1,NA
"The Simpsons: Road Rage",3.85,1.8,0,0.46,6.09,NA
"Toy Story 3: The Video Game",2.76,2.56,0.02,0.73,6.08,NA
"Dragon Quest VIII: Journey of the Cursed King",0.65,0.75,4.47,0.2,6.07,JP
"PES 2009: Pro Evolution Soccer",0.46,2.43,0.74,2.45,6.06,EU
"Metal Gear Solid 2: Sons of Liberty",2.45,2.01,0.87,0.72,6.05,NA
"Grand Theft Auto: Vice City Stories",2.48,2.05,0.19,1.34,6.05,NA
"Sonic the Hedgehog 2",4.47,1.2,0.16,0.19,6.03,NA
"Metal Gear Solid 4: Guns of the Patriots",2.63,1.74,0.83,0.83,6.03,NA
"Tom Clancy's Splinter Cell",3.25,2.23,0,0.54,6,NA
"Tom Clancy's The Division",2.68,2.37,0.15,0.78,5.99,NA
"Pro Evolution Soccer 2010",0.73,2.64,0.87,1.73,5.98,EU
"Final Fantasy XII",1.88,0,2.33,1.74,5.95,JP
"L.A. Noire",2.79,2.27,0.14,0.75,5.95,NA
"Madden NFL 11",5.18,0.29,0,0.47,5.94,NA
"Dragon Quest VII: Warriors of Eden",0.27,0.18,5.4,0.03,5.89,JP
"Madden NFL 2003",4.8,0.48,0.01,0.61,5.89,NA
"Need for Speed: Hot Pursuit",2.38,2.67,0.03,0.8,5.89,EU
"Middle-Earth: Shadow of Mordor",2.33,2.65,0.07,0.82,5.85,EU
"Dragon Quest IX: Sentinels of the Starry Skies",0.66,0.69,4.35,0.15,5.84,JP
"Madden NFL 2002",4.39,0.91,0.01,0.54,5.83,NA
"Mass Effect 3",3.11,2,0.06,0.6,5.78,NA
"Monster Hunter Tri",1.39,0.89,3.23,0.22,5.76,JP
"Tony Hawk's Pro Skater 4",3.58,1.75,0.01,0.42,5.75,NA
"Tekken 2",2.26,1.89,1.36,0.23,5.74,NA
Borderlands,3.6,1.49,0.03,0.62,5.73,NA
"Cooking Mama",3.13,1.94,0.07,0.58,5.72,NA
"The Lord of the Rings: The Return of the King",3.14,1.95,0.05,0.54,5.67,NA
"Tomb Raider",3.25,2.04,0.13,0.24,5.66,NA
"Donkey Kong",3.16,0.75,1.39,0.37,5.66,NA
"Kingdom Hearts II",2.72,1.01,1.56,0.36,5.65,NA
"LEGO Pirates of the Caribbean: The Video Game",2.45,2.52,0,0.67,5.65,EU
"The Witcher 3: Wild Hunt",1.82,2.89,0.21,0.72,5.64,EU
"Saints Row: The Third",2.27,2.37,0.25,0.75,5.64,EU
"Madden NFL 12",4.99,0.26,0,0.38,5.62,NA
"Star Wars Episode III: Revenge of the Sith",3.06,1.99,0.03,0.51,5.59,NA
"Skylanders Giants",3.01,1.98,0,0.6,5.59,NA
"Star Wars: Battlefront",3.23,1.79,0.03,0.53,5.56,NA
"Super Smash Bros.",2.95,0.6,1.97,0.04,5.55,NA
"Fight Night Round 3",3.93,1.1,0.02,0.52,5.55,NA
"Madden NFL 25",4.85,0.28,0,0.4,5.54,NA
"Winning Eleven: Pro Evolution Soccer 2007",0.2,3.12,1.34,0.88,5.53,EU
"NBA 2K12",4.53,0.52,0.06,0.41,5.53,NA
"Forza Motorsport 3",2.99,1.92,0.1,0.51,5.51,NA
"Monster Hunter Freedom Unite",0.47,0.57,4.13,0.34,5.5,JP
"Super Mario Advance",3.14,1.24,0.91,0.2,5.49,NA
"Sega Superstars Tennis",2.55,2.08,0,0.85,5.49,NA
"Mario Kart: Super Circuit",2.62,1.64,0.99,0.23,5.47,NA
"God of War III",2.97,1.65,0.13,0.73,5.47,NA
Asteroids,4.64,0.69,0,0.12,5.46,NA
"Sonic Heroes",2.5,2.24,0.13,0.58,5.46,NA
"Pokemon Stadium",3.18,1.24,0.94,0.09,5.45,NA
"Fable III",3.68,1.28,0.05,0.43,5.45,NA
"Skylanders: Spyro's Adventure",2.69,2.12,0,0.63,5.44,NA
"Need for Speed: Shift",1.58,2.81,0.06,0.97,5.42,EU
"NBA 2K11",4.63,0.35,0.04,0.42,5.42,NA
MySims,2.5,2.18,0.12,0.58,5.4,NA
"Batman: Arkham Knight",2.43,2.07,0.1,0.75,5.37,NA
"Resident Evil",2.05,1.16,1.4,0.73,5.34,NA
"The LEGO Movie Videogame",2.3,2.28,0.11,0.65,5.33,NA
"Rock Band 2",4.14,0.68,0,0.5,5.32,NA
"Pokemon Pinball",3.02,1.12,1.01,0.16,5.31,NA
"Final Fantasy IX",1.62,0.77,2.78,0.14,5.3,JP
"Call of Duty 3",2.98,1.59,0.05,0.68,5.3,NA
"Final Fantasy X-2",1.92,1.08,2.11,0.17,5.29,JP
"Resident Evil 6",2.07,1.64,0.95,0.6,5.28,NA
"Donkey Kong 64",3.33,0.79,1.09,0.06,5.27,NA
"The Incredibles",2.76,2.02,0.08,0.42,5.27,NA
"Professor Layton and the Curious Village",1.22,2.48,1.03,0.52,5.26,EU
"LEGO Indiana Jones 2: The Adventure Continues",2.89,1.72,0,0.62,5.23,NA
"NBA Jam",4.11,0.85,0,0.25,5.22,NA
"True Crime: Streets of LA",3.29,1.53,0.02,0.38,5.21,NA
"WWE SmackDown vs. Raw 2010",2.68,1.42,0.02,1.11,5.21,NA
"New Super Mario Bros. U",2.32,1.3,1.27,0.31,5.19,NA
"Super Mario Land 3: Wario Land",2.49,0.98,1.57,0.15,5.19,NA
"The Legend of Zelda: Phantom Hourglass",1.9,1.83,0.95,0.49,5.17,NA
"Donkey Kong Country 2: Diddy's Kong Quest",2.1,0.74,2.2,0.11,5.15,JP
"Tomodachi Life",0.96,2.02,1.89,0.28,5.15,EU
"James Bond 007: Agent Under Fire",3.11,1.5,0.1,0.46,5.15,NA
"Kirby's Dream Land",2.71,0.61,1.7,0.11,5.13,NA
"FIFA Soccer 06",1.27,2.96,0.04,0.86,5.13,EU
"Microsoft Flight Simulator",3.22,1.69,0,0.2,5.12,NA
"Disney Infinity",3.13,1.48,0,0.5,5.12,NA
"Need for Speed Rivals",1.92,2.39,0.09,0.7,5.11,EU
"Metal Gear Solid V: The Phantom Pain",1.78,1.94,0.71,0.63,5.08,EU
"James Bond 007: Nightfire",2.73,1.71,0.12,0.51,5.06,NA
"Warzone 2100",2.79,1.89,0,0.33,5.01,NA
"Spyro the Dragon",3.36,1.36,0.07,0.21,5,NA
"Link's Crossbow Training",3.06,1.18,0.29,0.46,5,NA
"Mass Effect 2",2.78,1.61,0.06,0.54,4.99,NA
"The Sims: Bustin' Out",2.83,1.88,0,0.29,4.98,NA
"LEGO Jurassic World",2.16,2.16,0.06,0.61,4.98,Other
"Mario & Sonic at the London 2012 Olympic Games",1.32,2.55,0.54,0.56,4.97,EU
"Batman: Arkham Origins",2.55,1.73,0.04,0.64,4.97,NA
"Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness",1.85,1.2,1.54,0.37,4.96,NA
"Sonic Unleashed",2.75,1.38,0.03,0.8,4.95,NA
"Uncharted: Drake's Fortune",2.31,1.73,0.12,0.78,4.94,NA
"Guitar Hero 5",2.4,1.56,0,0.97,4.94,NA
Wall-E,1.88,1.93,0,1.11,4.92,EU
"Dead Island",2.68,1.53,0.15,0.54,4.9,NA
"FIFA Soccer 2005",1.08,3.13,0.04,0.63,4.89,EU
"Diddy Kong Racing",2.91,0.99,0.89,0.1,4.88,NA
"WWE SmackDown vs. Raw 2009",2.78,1.11,0.01,0.99,4.88,NA
"Monster Hunter Freedom 3",0,0,4.87,0,4.87,JP
Titanfall,2.92,1.48,0.06,0.4,4.86,NA
"Just Dance 2015",2.58,1.79,0,0.49,4.85,NA
"StarCraft II: Wings of Liberty",2.56,1.68,0,0.59,4.83,NA
"Enter the Matrix",2.84,1.64,0.12,0.24,4.83,NA
"Crazy Taxi",2.59,1.72,0.2,0.31,4.82,NA
Baseball,1.39,0.37,3,0.05,4.81,JP
"Dragon Age: Inquisition",2.2,1.87,0.13,0.61,4.81,NA
"Midnight Club: Los Angeles",3.23,1,0.06,0.51,4.8,NA
"Crash Team Racing",2.57,1.57,0.44,0.21,4.79,NA
"Dragon Age: Origins",2.72,1.46,0.11,0.5,4.77,NA
"Assassin's Creed Syndicate",1.51,2.56,0.06,0.63,4.76,EU
"Saints Row 2",2.82,1.37,0.04,0.53,4.76,NA
"Skate 3",2.25,1.92,0,0.59,4.76,NA
"Ghostbusters: The Video Game (DS Version)",1.63,2.31,0.16,0.65,4.75,EU
"Driver 2",2.36,2.1,0.02,0.25,4.73,NA
Half-Life,4.32,0.23,0.09,0.08,4.72,NA
"The SpongeBob SquarePants Movie",3.21,1.23,0,0.27,4.7,NA
"WWF War Zone",3.55,1,0,0.15,4.69,NA
BioShock,2.41,1.74,0.06,0.51,4.69,NA
"Animal Crossing: City Folk",1.87,1.12,1.32,0.37,4.68,NA
"Dragon Warrior III",0.1,0,4.58,0,4.68,JP
"Forza Motorsport 4",2.08,2.04,0.06,0.47,4.64,NA
"Portal 2",2.57,1.46,0.03,0.53,4.6,NA
Spider-Man,3,1.39,0.02,0.18,4.59,NA
"Luigi's Mansion: Dark Moon",1.78,1.39,1.1,0.3,4.58,NA
"Max Payne",2.99,1.27,0.05,0.27,4.58,NA
"Lego Batman 3: Beyond Gotham",1.94,2.06,0,0.6,4.58,EU
Splatoon,1.55,1.15,1.44,0.43,4.57,NA
"Namco Museum: 50th Anniversary",2.52,1.48,0,0.56,4.57,NA
"SoulCalibur II",2.83,1.12,0.27,0.33,4.56,NA
"pro evolution soccer 2011",0.55,2.28,0.91,0.78,4.52,EU
Pitfall!,4.21,0.24,0,0.05,4.5,NA
"World Soccer Winning Eleven 9",0.18,2.59,0.92,0.8,4.5,EU
"Call of Duty: Finest Hour",2.6,1.6,0.01,0.29,4.5,NA
"Marvel: Ultimate Alliance",4.02,0.08,0,0.4,4.5,NA
"Ben 10: Protector of Earth",1.56,1.69,0,1.24,4.49,EU
"Uncharted: The Nathan Drake Collection",1.96,1.69,0.08,0.74,4.47,NA
Ratatouille,2.05,1.37,0,1,4.46,NA
"God of War",2.71,1.29,0.02,0.43,4.45,NA
"Nintendo Land",2.55,1.11,0.46,0.33,4.44,NA
"Dragon Quest V: Tenkuu no Hanayome",0,0,4.43,0.01,4.44,JP
"LEGO The Lord of the Rings",1.87,2,0,0.55,4.43,EU
"SpongeBob SquarePants: Battle for Bikini Bottom",3.15,1.07,0,0.21,4.42,NA
"The Sims 2",2.73,1.12,0,0.59,4.42,NA
"Tekken 6",2.06,1.44,0.32,0.59,4.41,NA
"Midnight Club 3: DUB Edition",2.26,1.32,0,0.82,4.4,NA
"Skylanders: Trap Team",2.16,1.77,0,0.46,4.4,NA
"BioShock Infinite",2.22,1.56,0.06,0.54,4.39,NA
"Zelda II: The Adventure of Link",2.19,0.5,1.61,0.08,4.38,NA
"Left 4 Dead 2",2.67,1.21,0.05,0.41,4.36,NA
"Resistance: Fall of Man",1.73,1.73,0.14,0.75,4.35,Other
"Fable II",2.51,1.27,0.11,0.41,4.31,NA
Dishonored,2.23,1.48,0.07,0.52,4.3,NA
"Guitar Hero: Aerosmith",3.38,0.43,0,0.49,4.3,NA
"Need for Speed: The Run",1.52,2.07,0.04,0.64,4.27,EU
"Halo 5: Guardians",2.64,1.2,0.03,0.39,4.26,NA
"Battlefield: Hardline",1.71,1.8,0.22,0.54,4.26,EU
"Super Mario 3D World",2.11,1.11,0.72,0.3,4.25,NA
"ESPN NFL 2K5",3.69,0.14,0,0.43,4.25,NA
"SimCity 2000",1.96,1.33,0.77,0.18,4.24,NA
